Time,bbox_labels
01:50:52,['banana' 'broccoli' 'banana' 'banana']
01:50:53,['banana' 'broccoli' 'banana' 'banana' 'banana']
01:50:54,['banana' 'banana' 'broccoli' 'banana']
01:50:55,['broccoli' 'banana' 'banana' 'banana']
01:50:56,['broccoli' 'banana' 'banana' 'banana' 'banana']
01:50:57,['broccoli' 'banana' 'banana' 'banana']
01:50:58,['banana' 'broccoli' 'banana' 'banana']
01:50:59,['banana' 'broccoli' 'banana' 'banana' 'apple']
01:51:00,['broccoli' 'banana' 'banana' 'banana']
01:51:01,['broccoli' 'banana' 'banana' 'banana']
01:51:02,['banana' 'broccoli' 'banana' 'banana']
01:51:04,['banana' 'broccoli' 'banana' 'apple']
01:51:05,['banana' 'broccoli' 'banana' 'banana']
01:51:06,['banana' 'broccoli' 'banana']
01:51:07,['banana' 'broccoli' 'banana' 'banana' 'apple']
01:51:08,['banana' 'broccoli' 'banana' 'banana']
01:51:09,['banana' 'broccoli' 'banana' 'banana']
01:51:10,['banana' 'broccoli' 'banana' 'apple' 'banana' 'banana']
01:51:11,['banana' 'banana' 'broccoli' 'apple']
01:51:13,['banana' 'broccoli' 'banana' 'apple' 'banana']
01:51:14,['banana' 'banana' 'apple' 'banana' 'broccoli']
01:51:15,['banana' 'broccoli' 'banana']
