Time,bbox_labels
01:43:35,['banana' 'broccoli' 'banana' 'banana']
01:43:36,['banana' 'broccoli' 'banana' 'banana']
01:43:37,['banana' 'broccoli' 'banana' 'banana' 'banana']
01:43:38,['banana' 'broccoli' 'banana']
01:43:39,['banana' 'broccoli' 'banana' 'banana' 'banana']
01:43:40,['banana' 'broccoli' 'banana' 'banana']
01:43:42,['banana' 'broccoli' 'banana' 'banana' 'apple']
01:43:43,['banana' 'broccoli' 'banana' 'banana']
01:43:44,['broccoli' 'banana' 'banana']
01:43:45,['banana' 'broccoli' 'banana' 'banana']
01:43:46,['banana' 'banana' 'broccoli' 'banana' 'banana']
01:43:47,['banana' 'broccoli' 'apple' 'banana' 'banana' 'banana']
01:43:48,['banana' 'broccoli' 'banana' 'banana']
01:43:49,['banana' 'broccoli' 'banana' 'banana']
01:43:50,['banana' 'broccoli' 'banana' 'apple' 'banana' 'banana']
01:43:51,['banana' 'broccoli' 'apple' 'banana']
01:43:52,['banana' 'broccoli' 'banana' 'banana']
