Time,bbox_labels
04:15:24,['cat' 'cup' 'laptop']
04:15:25,['cat' 'laptop' 'cup' 'tvmonitor']
04:15:26,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:27,['cat' 'tvmonitor' 'laptop' 'cup']
04:15:28,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:29,['cat' 'laptop' 'cup' 'laptop' 'tvmonitor']
04:15:30,['cat' 'cup' 'laptop' 'laptop' 'tvmonitor']
04:15:31,['cat' 'cup' 'laptop' 'laptop' 'dog']
04:15:32,['cat' 'cup' 'laptop']
04:15:33,['cat' 'cup' 'laptop']
04:15:34,['cat' 'cup' 'laptop']
04:15:35,['cat' 'cup' 'laptop']
04:15:36,['cat' 'cup' 'laptop']
04:15:37,['cat' 'cup' 'laptop']
04:15:38,['cat' 'cup' 'laptop']
04:15:39,['cat' 'cup' 'laptop']
04:15:40,['cat' 'cup' 'laptop']
04:15:41,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:42,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:43,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:44,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:45,['cat' 'laptop' 'cup' 'tvmonitor']
04:15:46,['cat' 'cup' 'laptop']
04:15:47,['cat' 'cup' 'laptop']
04:15:48,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:49,['cat' 'cup' 'tvmonitor' 'laptop']
04:15:50,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:51,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:52,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:55,['cat' 'cup' 'laptop' 'tvmonitor']
04:15:56,['keyboard']
04:15:58,['keyboard']
04:15:59,['keyboard' 'laptop']
04:16:00,['keyboard' 'laptop']
04:16:01,['keyboard']
04:16:02,['keyboard']
04:16:03,['keyboard']
04:16:04,['keyboard']
04:16:05,['keyboard' 'laptop']
04:16:06,['keyboard']
04:16:09,['cup' 'mouse' 'person']
04:16:10,['cup' 'mouse']
04:16:11,['cup' 'mouse' 'cat']
04:16:12,['cup' 'mouse' 'cat' 'keyboard']
04:16:13,['cup' 'mouse' 'cat']
04:16:14,['cup' 'mouse']
04:16:15,['cup']
04:16:16,['cup']
04:16:17,['cup' 'remote' 'person']
04:16:19,['cup' 'person']
04:16:20,['cup' 'person']
04:16:21,['cup' 'person']
04:16:22,['cup' 'person']
04:16:23,['cup' 'mouse' 'person']
04:16:24,['cup' 'person']
04:16:25,['cup' 'person' 'mouse']
04:16:26,['cup' 'mouse']
04:16:27,['cup' 'mouse' 'cat']
04:16:28,['cup' 'mouse' 'person']
04:16:29,['cup' 'mouse']
04:16:30,['cup' 'mouse']
04:16:31,['cup' 'mouse']
04:16:32,['cup' 'mouse']
04:16:33,['cup' 'mouse' 'person']
04:16:35,['cup' 'mouse' 'person']
04:16:36,['cup' 'mouse' 'person']
04:16:37,['cup' 'mouse']
04:16:38,['cup' 'mouse']
04:16:39,['cup' 'mouse']
04:16:40,['cup' 'mouse']
04:16:41,['cup' 'mouse']
04:16:42,['cup' 'mouse']
04:16:43,['cup' 'mouse']
04:16:44,['cup' 'mouse']
04:16:45,['cup' 'mouse']
04:16:46,['cup' 'mouse']
04:16:47,['cup' 'mouse']
04:16:48,['cup' 'mouse']
04:16:49,['cup' 'mouse' 'person']
04:16:50,['cup' 'mouse']
04:16:51,['cup' 'mouse']
04:16:52,['cup' 'mouse' 'person']
04:16:53,['cup' 'mouse']
04:16:54,['cup' 'mouse' 'cup']
04:16:55,['mouse']
04:16:56,['mouse']
